Match_ID,Time,RHero1,RHero2,RHero3,RHero4,RHero5,DHero1,DHero2,DHero3,DHero4,DHero5,mmr,Rwin
5771061809, 2021-01-03 22:39:42, 77,64,34,85,114, 23,19,1,47,86, 4688, False
5771061808, 2021-01-03 22:39:42, 95,74,14,123,86, 21,19,42,126,96, 4101, True
5771061612, 2021-01-03 22:39:26, 88,8,52,13,102, 14,36,40,85,10, 4689, True
5771061604, 2021-01-03 22:39:07, 32,4,11,26,86, 19,85,21,39,12, 4988, False
5771061519, 2021-01-03 22:39:18, 31,98,11,32,26, 2,88,1,16,111, 5453, True
5771061516, 2021-01-03 22:39:17, 90,104,96,114,50, 97,32,86,119,14, 4032, False
5771061500, 2021-01-03 22:39:12, 10,74,25,42,93, 86,107,11,6,26, 4585, True
5771061411, 2021-01-03 22:39:07, 110,87,114,10,29, 3,60,81,21,26, 4080, False
5771061410, 2021-01-03 22:39:02, 5,77,74,103,8, 42,85,39,15,110, 4515, True
5771061212, 2021-01-03 22:38:56, 110,121,8,47,108, 70,13,42,86,90, 4049, False
5771061104, 2021-01-03 22:38:48, 1,17,86,2,84, 99,107,19,91,75, 4438, False
5771061102, 2021-01-03 22:38:48, 88,37,120,11,10, 85,74,20,93,7, 4419, False
5771061009, 2021-01-03 22:38:37, 14,81,83,114,16, 109,26,20,46,99, 4117, True
5771060919, 2021-01-03 22:38:22, 74,103,71,42,47, 114,105,34,99,14, 4500, False
5771060903, 2021-01-03 22:38:28, 25,10,5,82,96, 120,32,7,123,14, 4062, False
5771060902, 2021-01-03 22:38:27, 21,12,13,71,5, 62,44,69,86,30, 4193, True
5771060814, 2021-01-03 22:38:18, 74,53,26,10,123, 20,32,14,11,104, 4235, False
5771060708, 2021-01-03 22:38:06, 93,100,7,111,98, 57,71,12,5,8, 4002, True
5771060608, 2021-01-03 22:38:08, 92,8,129,14,25, 95,7,45,46,87, 4181, True
5771060418, 2021-01-03 22:37:57, 39,26,19,2,12, 126,38,100,40,44, 4344, True
5771060416, 2021-01-03 22:37:56, 26,9,36,32,49, 109,69,60,48,53, 4091, False
5771060400, 2021-01-03 22:37:56, 51,9,93,74,65, 10,26,42,86,8, 4051, True
5771060302, 2021-01-03 22:37:47, 99,42,34,88,90, 27,38,22,21,8, 5486, False
5771060119, 2021-01-03 22:37:33, 67,101,123,60,97, 10,9,128,22,129, 4218, True
5771059900, 2021-01-03 22:37:17, 36,64,31,27,77, 110,84,7,11,93, 4067, False
5771059714, 2021-01-03 22:36:57, 36,61,26,98,123, 86,17,105,35,81, 4511, False
5771059618, 2021-01-03 22:36:57, 123,25,7,99,128, 126,35,37,93,29, 4140, True
5771059311, 2021-01-03 22:36:33, 34,4,104,119,25, 8,30,26,20,120, 4574, False
5771059214, 2021-01-03 22:36:22, 25,51,32,20,108, 26,109,46,101,28, 4531, True
5771058915, 2021-01-03 22:36:03, 59,47,26,93,74, 86,14,10,126,62, 4068, False
5771058910, 2021-01-03 22:35:56, 31,14,15,54,34, 86,7,89,112,11, 4210, True
5771058903, 2021-01-03 22:35:43, 105,35,21,16,32, 54,71,128,129,43, 4378, True
5771058714, 2021-01-03 22:35:38, 110,22,30,40,70, 11,20,29,6,86, 5481, True
5771058510, 2021-01-03 22:35:28, 83,21,1,27,11, 126,105,70,13,123, 4880, False
5771058112, 2021-01-03 22:35:02, 112,44,25,71,26, 77,10,68,47,9, 4148, True
5771058006, 2021-01-03 22:34:48, 5,48,33,17,98, 107,21,6,37,11, 4171, False
